Productid,ProductName,Quantity,Type,Unit_Price,Existence,Salesid,Date_Sale,Producto,Cant,Client,Total,Payment_Method,ID,Productocompra,CantC,Date,Tot,DateCA,Ingresos,Egresos,Saldo
1,Frosty trio,761,Adorno,6,Si,1,2021-01-01,Aquamarino,68,Pablo Andres,214,Tarjeta de credito,1,Aguas escondidas,13,2022-07-01,52,2021-01-01,6710,1498,5212
2,Papa noel,413,Adorno,6.5,Si,2,2021-01-02,Xelaju,32,Pablo Andres,321,Tarjeta de credito,2,Verde oscuro,119,2023-08-01,357,2021-01-02,2847,3397,-550
3,Baston de caramelo,421,Pulsera,5,Si,3,2021-01-03,Aretes calcetin,44,Kevin Garcia,496,Tarjeta de credito,3,India,141,2023-01-01,564,2021-01-03,6789,1004,5785
4,Papa noel tren,513,Adorno,7.5,Si,4,2021-01-04,Pavorreal,27,Majo mata,481,Efectivo,4,Aretes morados,12,2021-02-01,48,2021-01-04,3072,2281,791
5,Cascanueces,295,Adorno,6.5,Si,5,2021-01-05,Bolsas adornadas,74,Diego Albanez,264,Cheque,5,Aretes oscuros,12,2021-11-01,36,2021-01-05,814,3413,-2599
6,Cascanueces viejo,970,Adorno,7,Si,6,2021-01-06,Bolsas oscuras,12,Kevin Garcia,149,Tarjeta de credito,6,Cuello,11,2022-06-01,44,2021-01-06,1399,3141,-1742
7,Frosty en casa,909,Adorno,8,Si,7,2021-01-07,Naranja verano,62,Sofia ramos,432,Cheque,7,Collar calido,34,2021-06-01,136,2021-01-07,448,2188,-1740
8,Baw,575,Pulsera,4,Si,8,2021-01-08,Bolsas amarillas,68,Victor hugo,48,Tarjeta de credito,8,Triangular,109,2021-08-01,436,2021-01-08,3165,2064,1101
9,Verano,203,Pulsera,4,Si,9,2021-01-09,Aretes morados,25,Yolanda perez,104,Efectivo,9,Aretes azules,60,2023-08-01,300,2021-01-09,1188,3867,-2679
10,Solola,300,Pulsera,4,Si,10,2021-01-10,Semi oscura,17,Franchesca Coronado,325,Efectivo,10,Bolsas rosadas,16,2022-03-01,80,2021-01-10,1423,1553,-130
11,Dorado,913,Pulsera,4,Si,11,2021-01-11,Frio,62,Pablo Andres,400,Cheque,11,Aretes calidos,144,2022-03-01,720,2021-01-11,5803,1660,4143
12,Quiche,602,Pulsera,4,Si,12,2021-01-12,Quiche,90,Yolanda perez,486,Efectivo,12,Charm,70,2023-08-01,350,2021-01-12,3843,2944,899
13,Naturaleza,633,Pulsera,5,Si,13,2021-01-13,Cuello,18,Yolanda perez,402,Tarjeta de credito,13,Aretes calidos,138,2022-09-01,552,2021-01-13,2962,1103,1859
14,Nebaj,112,Pulsera,5.5,Si,14,2021-01-14,Maiz,94,Kevin ovando,329,Efectivo,14,Bastón de caramelo,45,2023-03-01,225,2021-01-14,2239,917,1322
15,Elegancia,875,Pulsera,5.5,Si,15,2021-01-15,Aretes Plateados,22,Majo mata,352,Tarjeta de credito,15,Aretes azules,19,2023-05-01,76,2021-01-15,4181,3462,719
16,India,504,Pulsera,5.5,Si,16,2021-01-16,Triangular,99,Diego Albanez,163,Efectivo,16,Quiche,136,2023-05-01,272,2021-01-16,1051,1983,-932
17,Aqua,695,Pulsera,5,Si,17,2021-01-17,Aquamarino,56,Diego Albanez,120,Tarjeta de credito,17,Aretes Plateados,112,2021-03-01,448,2021-01-17,5074,3867,1207
18,Charm,576,Pulsera,5.5,Si,18,2021-01-18,Nebaj,42,Kevin Garcia,439,Cheque,18,Congelado,62,2022-06-01,310,2021-01-18,2398,1327,1071
19,Soleado,457,Pulsera,4,Si,19,2021-01-19,Morado claro,96,Yolanda perez,485,Cheque,19,Frosty trio,131,2021-12-01,524,2021-01-19,3069,3279,-210
20,White,893,Pulsera,4,Si,20,2021-01-20,Bolsas con dorado,86,Victor hugo,331,Efectivo,20,Invierno,23,2022-04-01,46,2021-01-20,4109,3780,329
21,Calido,146,Pulsera,4.5,Si,21,2021-01-21,Aretes calidos,17,Diego Albanez,306,Tarjeta de credito,21,Aretes celestes,92,2023-05-01,276,2021-01-21,6989,1246,5743
22,Turquesa,400,Pulsera,5,Si,22,2021-01-22,Azul oscuro,70,Bennet Velasquez,20,Cheque,22,Maiz,116,2021-12-01,580,2021-01-22,3186,745,2441
